Preorder_ID,Booking_ID,Business_ID,Customer_ID,Total_Items,Items_Summary,Subtotal_INR,Tax_INR,Total_Amount_INR,Status,Created_At
69c15f42f298f2956b1ef9a4,69c15f42f298f2956b1ef9a3,6980d6a6ae7ec40527e24999,OAfglRMxOiYJ6Qfj8YdYTbfCSEJ2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-03-23T15:41:54.157Z
69c15c0df298f2956b1ef1cf,69c15c0df298f2956b1ef1ce,2,tV22ZEXLIheqS9YJLommJCkAtE52,1,Grilled Fish (x1),550,27.5,577.5,confirmed,2026-03-23T15:28:13.087Z
69c159e0f298f2956b1eebf3,69c159e0f298f2956b1eebf2,2,tNhXtWeGmagRfkPrcRG0ck6byBo2,6,Grilled Fish (x1); Fish Fry (x1); Coconut Rice (x2); Prawn Fry (x2),2200,110,2310,confirmed,2026-03-23T15:18:56.005Z
69c152f6f298f2956b1ee00b,69c152f6f298f2956b1ee00a,5,AeevjNsIpzdOW9iTPLhNdkpYJBE2,1,Ice Cream (x1),250,12.5,262.5,confirmed,2026-03-23T14:49:26.841Z
69c15105f298f2956b1edbe4,69c15105f298f2956b1edbe3,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-03-23T14:41:09.128Z
69c14829f298f2956b1eccba,69c14829f298f2956b1eccb9,6980d6a6ae7ec40527e24999,tNhXtWeGmagRfkPrcRG0ck6byBo2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-03-23T14:03:21.518Z
69c0fb41d953b5c57c73c02a,69c0fb41d953b5c57c73c029,6980d6a6ae7ec40527e24999,XYigPpCs1mWsRYu5SLTKAw1V3mp1,2,Masala Dosa (x1); Dosa (x1),90,4.5,94.5,confirmed,2026-03-23T08:35:13.480Z
69c0b9a6a1bc187dc44e7279,69c0b9a6a1bc187dc44e7278,3,2g1QbEA3gHdSrfp4AvXTKvou0F73,1,Chicken Biryani (x1),350,17.5,367.5,confirmed,2026-03-23T03:55:18.297Z
69bf9037b3fe2ef342546940,69bf9037b3fe2ef34254693f,6980d6a6ae7ec40527e24999,X2xzyYuf60WuPLfVxHWn5m3HIdl2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-03-22T06:46:15.624Z
69beaaa21cb1f72fa52834a4,69beaaa21cb1f72fa52834a3,1,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Veg Biryani (x2),600,30,630,confirmed,2026-03-21T14:26:42.372Z
69bd6217d1845f04eff73d4f,69bd6217d1845f04eff73d4e,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-03-20T15:04:55.720Z
69bd0b8d62cd0017c427eed7,69bd0b8d62cd0017c427eed6,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-03-20T08:55:41.781Z
69b8e92a8d6583b48d2245d5,69b8e92a8d6583b48d2245d4,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-03-17T05:39:54.496Z
69a1164de1dfdbcdc49eb74c,69a1164de1dfdbcdc49eb74b,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-02-27T03:58:05.205Z
69a11238efa65bfa0c9f16d8,69a11238efa65bfa0c9f16d7,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-02-27T03:40:40.532Z
69a10f1c46151830da970c90,69a10f1c46151830da970c8f,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-02-27T03:27:24.727Z
69a07c58279db3cc9ab97229,69a07c58279db3cc9ab97228,6980d6a6ae7ec40527e24999,IIshj8YqtxaFcEnOZaFyDsgwnB72,1,Masala Dosa (x1),60,3,63,confirmed,2026-02-26T17:01:12.175Z
69a079f17708ee7cc90d3a2c,69a079f17708ee7cc90d3a2b,6980d6a6ae7ec40527e24999,IIshj8YqtxaFcEnOZaFyDsgwnB72,1,Masala Dosa (x1),60,3,63,confirmed,2026-02-26T16:50:57.349Z
69a078347e03325810c68cf9,69a078347e03325810c68cf8,6980d6a6ae7ec40527e24999,IIshj8YqtxaFcEnOZaFyDsgwnB72,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-26T16:43:32.998Z
69a0767bba6f894757e07b64,69a0767bba6f894757e07b63,6980d6a6ae7ec40527e24999,IIshj8YqtxaFcEnOZaFyDsgwnB72,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-26T16:36:11.579Z
699c88fec4d96920b7a703f7,699c88fec4d96920b7a703f6,6980d6a6ae7ec40527e24999,YuMRWok48sSXHTjQ3FaPPpnpXFu2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-02-23T17:06:06.120Z
69969412e8808e5d9554979a,69969412e8808e5d95549799,6980d6a6ae7ec40527e24999,moBv0RiJSiRQNxypHwKQGvcsNuC2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-19T04:39:46.655Z
6992e959d995f415fcfd4ea1,6992e959d995f415fcfd4ea0,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:54:33.808Z
6992e79742cbdb862bd1cfcf,6992e79742cbdb862bd1cfce,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:47:03.546Z
6992e5acc8e3f3e4cc2e03ae,6992e5acc8e3f3e4cc2e03ad,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:38:52.283Z
6992e5a8c8e3f3e4cc2e03a6,6992e5a8c8e3f3e4cc2e03a5,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:38:48.175Z
6992e5a6c8e3f3e4cc2e039f,6992e5a6c8e3f3e4cc2e039e,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:38:46.044Z
6992e205eeee15b58e08dc43,6992e205eeee15b58e08dc42,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T09:23:17.173Z
6992ae9c5264ba3cf92bd8f6,6992ae9c5264ba3cf92bd8f5,6980d6a6ae7ec40527e24999,2g1QbEA3gHdSrfp4AvXTKvou0F73,2,Masala Dosa (x2),120,6,126,confirmed,2026-02-16T05:43:56.410Z
6992a9ba112e20715d3d9bcf,6992a9ba112e20715d3d9bce,6980d6a6ae7ec40527e24999,2g1QbEA3gHdSrfp4AvXTKvou0F73,1,Dosa (x1),30,1.5,31.5,confirmed,2026-02-16T05:23:06.822Z
6990b7a0ed91fc508b13a5b8,6990b7a0ed91fc508b13a5b7,6980d6a6ae7ec40527e24999,ccF0AmmQmFcksLxOXlTAYbZMFTr1,2,Dosa (x1); Masala Dosa (x1),90,4.5,94.5,confirmed,2026-02-14T17:57:52.996Z
